family_code,family_desc,sub_family_code,sub_family_desc,type_code,type_group_desc,type_desc,service_detail_code,complete_desc,service_desc,ippf_code
1,SRH - Family Planning,10,Family Planning Methods,0000,Total FP,Total FP,00,ALL FAMILY PLANNING METHODS,Control Account - Total,110000000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1000,Oral Contraceptives,Total Orals,00,CONTRACEPTIVES - ALL ORAL CONTRACEPTIVES,Control Account - Total,111100000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1001,Oral Contraceptives,Total Orals,19,Contraceptives - Oral Contraceptives - OC - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,111100119
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1009,Oral Contraceptives,Total Orals,99,Contraceptives - Oral Contraceptives - OC - Other/Generic Services,Contraceptive Method - Generic Services,111100999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1010,Oral Contraceptives,COCs+POPs,00,CONTRACEPTIVES - ALL COMBINED & PROGESTOGEN-ONLY ORAL CONTRACEPTIVES,Control Account - Total,111101000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1011,Oral Contraceptives,COCs+POPs,10,Contraceptives - Oral Contraceptives - COC & POC - Initial Consultation,Contraceptive Method - Initial Consultation,111101110
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1011,Oral Contraceptives,COCs+POPs,11,Contraceptives - Oral Contraceptives - COC & POC - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,111101111
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1019,Oral Contraceptives,COCs+POPs,99,Contraceptives - Oral Contraceptives - COC & POC - Other/Generic Services,Contraceptive Method - Generic Services,111101999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1100,Injectables,Total injectables,00,CONTRACEPTIVES - ALL INJECTABLE CONTRACEPTIVES,Control Account - Total,111110000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1101,Injectables,Total injectables,19,Contraceptives - Injectable Contraceptives - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,111110119
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1109,Injectables,Total injectables,99,Contraceptives - Injectable Contraceptives - Other/Generic Services,Contraceptive Method - Generic Services,111110999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1110,Injectables,CICs,00,CONTRACEPTIVES - ALL COMBINED INJECTABLE CONTRACEPTIVES - CIC,Control Account - Total,111111000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1111,Injectables,CICs,10,Contraceptives - Combined Injectable Contraceptives (1 month) -  Initial Consultation,Contraceptive Method - Initial Consultation,111111110
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1111,Injectables,CICs,11,Contraceptives - Combined Injectable Contraceptives (1 month) - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,111111111
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1119,Injectables,CICs,99,Contraceptives - Combined Injectable Contraceptives (1 month) - Other/Generic Services,Contraceptive Method - Generic Services,111111999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1120,Injectables,POIs - 2 mo,00,CONTRACEPTIVES - ALL PROGESTOGEN ONLY INJECTABLES (2 MONTHS),Control Account - Total,111112000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1121,Injectables,POIs - 2 mo,10,Contraceptives - Progestogen Only Injectables (2 months) - Initial Consultation,Contraceptive Method - Initial Consultation,111112110
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1121,Injectables,POIs - 2 mo,11,Contraceptives - Progestogen Only Injectables (2 months) - Follow up/Resupply ,Contraceptive Method - Follow up/Resupply/Training,111112111
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1129,Injectables,POIs - 2 mo,99,Contraceptives - Progestogen Only Injectables (2 months) - Other/Generic Services,Contraceptive Method - Generic Services,111112999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1130,Injectables,POIs - 3 mo,00,CONTRACEPTIVES - ALL PROGESTOGEN ONLY INJECTABLES (3 MONTHS),Control Account - Total,111113000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1131,Injectables,POIs - 3 mo,10,Contraceptives - Progestogen Only Injectables (3 months) - Initial Consultation,Contraceptive Method - Initial Consultation,111113110
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1131,Injectables,POIs - 3 mo,11,Contraceptives - Progestogen Only Injectables (3 months) - Follow up/Resupply,Contraceptive Method - Follow up/Resupply/Training,111113111
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1139,Injectables,POIs - 3 mo,99,Contraceptives - Progestogen Only Injectables (3 months) - Other/Generic Services,Contraceptive Method - Generic Services,111113999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1200,Implants,Total Implants,00,CONTRACEPTIVES - ALL SUBDERMAL IMPLANTS,Control Account - Total,111120000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1201,Implants,Total Implants,12,Contraceptives - Subdermal Implants - Removal,Contraceptive Method - Termination/Removal/Reversal,111120112
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1201,Implants,Total Implants,19,Contraceptives - Subdermal Implants - Method Specific Counselling,Contraceptive Method - Method Specific Counselling,111120119
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1209,Implants,Total Implants,99,Contraceptives - Subdermal Implants - Other/Generic Services,Contraceptive Method - Generic Services,111120999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1220,Implants,Implants 6 rods,00,CONTRACEPTIVES - ALL SUBDERMAL IMPLANTS 6 rods,Control Account - Total,111122000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1221,Implants,Implants 6 rods,10,Contraceptives - Subdermal implants 6 rods - Initial Consultation/Insertion,Contraceptive Method - Initial Consultation,111122110
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1221,Implants,Implants 6 rods,11,Contraceptives - Subdermal implants 6 rods - Follow up/Reinsertion,Contraceptive Method - Follow up/Resupply/Training,111122111
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1229,Implants,Implants 6 rods,99,Contraceptives - Subdermal implants 6 rods - Other/Generic Services,Contraceptive Method - Generic Services,111122999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1230,Implants,Implants 2 rods,00,CONTRACEPTIVES - ALL SUBDERMAL IMPLANTS 2 rods,Control Account - Total,111123000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1231,Implants,Implants 2 rods,10,Contraceptives - Subdermal implants 2 rods - Initial Consultation/Insertion,Contraceptive Method - Initial Consultation,111123110
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1231,Implants,Implants 2 rods,11,Contraceptives - Subdermal implants 2 rods - Follow up/Reinsertion,Contraceptive Method - Follow up/Resupply/Training,111123111
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1239,Implants,Implants 2 rods,99,Contraceptives - Subdermal implants 2 rods - Other/Generic Services,Contraceptive Method - Generic Services,111123999
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1240,Implants,Implants 1 rod,00,CONTRACEPTIVES - ALL SUBDERMAL IMPLANTS 1 rods,Control Account - Total,111124000
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1241,Implants,Implants 1 rod,10,Contraceptives - Subdermal implants 1 rod - Initial Consultation/Insertion,Contraceptive Method - Initial Consultation,111124110
1,SRH - Family Planning,11,Temporary Methods - Hormonal,1241,Implants,Implants 1 rod,11,Contraceptives - Subdermal implants 1 rod - Follow up/Reinsertion,Contraceptive Method - Follow up/Resupply/Training,111124111
